# z T_b
0.000000000000000000e+00 5.028571428571427049e+01
2.222222222222222099e-01 8.015997366457833095e+01
4.444444444444444198e-01 1.153599695024405065e+02
6.666666666666666297e-01 1.541653132056353570e+02
8.888888888888888395e-01 1.950491799029638571e+02
1.111111111111111160e+00 2.368920759483434324e+02
1.333333333333333259e+00 2.789884873506133545e+02
1.555555555555555358e+00 3.209528126714587302e+02
1.777777777777777679e+00 3.626096657352678108e+02
2.000000000000000000e+00 4.039065388364317641e+02
